,nominal__v_12,nominal__v_18,nominal__v_20,nominal__v_21,nominal__v_25,nominal__v_3,nominal__v_32,nominal__v_4,ordinal__v_0,ordinal__v_10,ordinal__v_13,ordinal__v_15,ordinal__v_17,ordinal__v_19,ordinal__v_22,ordinal__v_23,ordinal__v_24,ordinal__v_29,ordinal__v_31,ordinal__v_33,ordinal__v_5,ordinal__v_6,binary__v_1,binary__v_11,binary__v_14,binary__v_26,binary__v_27,binary__v_28,binary__v_30,binary__v_9,bin_literal,ord_norm,binary_sum,ratio__v_16,ratio__v_2,ratio__v_34,ratio__v_35,ratio__v_36,ratio__v_37,ratio__v_38,ratio__v_39,ratio__v_40,ratio__v_7,ratio__v_8
nominal__v_12,22.93737477076294,4.3770188740629745,-7.728486213650667,2.3312038988408976,-2.1985148806186166,3.142525616227385,3.7210562863021384,2.4393415619125447,2.5734846091665586,2.5672677606398335,2.733534481418522,2.6020511580600116,2.6614923395599157,2.559061115854862,2.7701531532831964,2.586281688561312,2.57112218673973,2.739436165405098,2.4139463952405147,2.575373347908789,2.571543405459242,2.5952654394121244,0.07552256770756406,-0.2623103349874133,0.5090019747923858,0.5265377647815149,-0.5004147091775405,0.4406357532358958,0.31439355497051563,0.37703772258747276,0.06414409736974977,0.12523288404256014,0.21148632770148507,0.17589403824901206,0.1868109434699714,0.14730708299235723,0.033788872289612366,0.0682684527925777,0.04264585877788779,0.03320682159927697,0.0309299247066011,0.16230623157678672,0.15645646574103372,0.10096642061800974
nominal__v_18,4.3770188740629745,312.5558694759657,127.69515663706778,4.005545310853545,165.39004945031172,191.44116471944818,11.512160310170641,15.135868603299345,1.8946129445781208,2.325744044810076,2.3143334145753776,0.7551254939756885,2.5320557744217465,2.0028385489245544,4.509347258108752,1.4793228910472003,2.1943870121174647,2.419187270500481,17.036774595520114,3.0999997640464514,2.221885149472408,3.831661551563898,-0.22293587837455214,-0.25381625714384054,0.3321860485386988,0.6835998821897822,-0.37387845727464253,0.08719277460273768,0.07531995300915803,1.0196918224607798,-0.09680159236149292,0.16650967044421827,0.1924799840011599,0.23283890038970984,0.16531199443482747,0.16011025554046687,0.030658145162606718,0.06427439579715136,0.07420681878443582,-0.06428433684115184,0.048957662046291026,0.05561565574385484,0.11940570031656139,0.08423478113504197
nominal__v_20,-7.728486213650667,127.69515663706778,824.5554999380131,6.915786354056936,353.9769892827125,133.87694913591014,34.044847544861696,42.248921733931034,2.792909019921137,4.078271058715235,4.4066686371101005,1.986675342354714,8.270605136181283,4.059391353662719,2.52882955382017,1.5996915115572847,4.586882794100836,4.957301998887418,37.65115295924608,5.522101650731011,3.890227005355313,3.5046393047531605,-0.7717948625417907,-0.6176641625980872,0.4281808828215828,0.5177319576038675,-0.499446418280682,-0.30706482393423973,-0.3913873901983222,1.4094229436787193,-0.4742428694838222,0.27221694200105034,-0.033145981921279044,-0.04145702789751825,0.3878966827892338,0.21779668174363573,0.10557795358036444,0.14510417700857917,0.04950958910681169,0.020450222419106368,0.09252850677798338,0.0482991888392942,-0.056602690972283626,0.12957475410864533
nominal__v_21,2.3312038988408976,4.005545310853545,6.915786354056936,16.56075986999106,7.566780821917775,2.895896996838784,9.14871575342466,3.251830874604852,2.5337394625922105,2.7593321917808074,2.8810787671232796,2.5456533192834474,3.024282139093789,2.4125263435194957,2.395574288724971,2.568651211801888,2.7796035300316144,2.2814146469968346,7.557474973656451,2.84587065331927,2.93869204425713,2.399723393045308,-0.027028451001053663,-0.4017518440463657,0.5075540042149654,0.4770877239199191,-0.49344704952581864,0.050619072708113944,0.3260010537407787,0.38989726027397215,-0.03137187751813055,0.12919610272341012,0.11841882432635838,0.15730381629679757,0.1969314190375834,0.13199749736564814,0.028481468441940848,0.07042746902365464,0.054296412980365985,0.023429124478856443,0.039690372806220696,0.16800062095438806,0.14825941930501,0.14772787144362495
nominal__v_25,-2.1985148806186166,165.39004945031172,353.9769892827125,7.566780821917775,609.9721272582685,85.81600447923115,38.80291477579972,43.50291521994758,2.721282537994067,3.3315140389584275,4.773197314904163,-0.887390670230211,6.688315691410513,1.50585242521383,0.9144528487088064,1.6813654715018143,3.852126385602495,0.848626306211076,51.237529966100404,5.755214045953758,5.170053553127301,2.1527054711242792,-1.119850188929392,-0.8674872113177762,0.26540801642458733,0.5599363369572103,-0.39887114271469815,-0.1602337494628586,-0.27290700876414736,0.6892304971902082,-0.725868452746293,0.21025464545314165,-0.18639635008812405,-0.13016759447453177,0.2827273546590928,0.2633096954145064,-0.08645939050856251,0.12875722568251297,0.01810936615138802,-0.1597577050359077,0.09278216856643892,0.0871671131674451,-0.19237955167640092,0.15635932629988167
nominal__v_3,3.142525616227385,191.44116471944818,133.87694913591014,2.895896996838784,85.81600447923115,421.85812829396593,-7.790374573479282,19.16398833945334,1.523148687654125,1.7405728716157325,0.47674295414950635,1.8299137742463105,-1.4096925761241683,2.4373385244964196,5.693759833711039,1.025992115265249,0.6701328126995245,4.440826639655074,3.4247530884931257,2.1319555149838822,-1.1594879072419437,4.118083410411491,-0.010780800820785127,-0.08324478598180537,0.46130826109453565,0.48901263572880727,-0.2539780865777406,0.09705131628767917,0.034048762992712533,1.0451197172776834,0.06018845307679163,0.16162539872115472,0.2540767171430125,0.31892538251883645,0.20809224849110008,0.18527401077169578,0.17235166264673077,0.09956293326670854,0.10839241132378519,-0.014037899353489647,0.10627980959573015,0.10845844439673359,0.16511137971874287,0.032023958861915766
nominal__v_32,3.7210562863021384,11.512160310170641,34.044847544861696,9.14871575342466,38.80291477579972,-7.790374573479282,464.5524429793799,-38.20063858745442,3.865795320291667,9.92777563954515,16.061618970276484,-3.9163025301992818,25.16700159809949,5.292293299141355,-0.8859044127199499,4.854351621861394,13.290523696120728,-2.775447243007721,63.122258421043156,12.859253563731329,20.05457556259653,2.1889933638759,-1.1261502319006966,-2.3654332912133103,0.6136382884873556,1.1164556432315733,-0.9859680299599921,0.09212360690250124,1.6846227963326754,-0.5280125299660998,-1.0302480844980835,0.3586054860440494,-0.21410339258371436,0.10588439957050665,0.1947147576081604,0.14897082267841114,0.1715207945847626,0.13426933468929889,-0.02868219105794856,-0.13072973600768922,-0.0598484835069332,0.19371486919369876,0.5632389720848406,1.7416618631613772
nominal__v_4,2.4393415619125447,15.135868603299345,42.248921733931034,3.251830874604852,43.50291521994758,19.16398833945334,-38.20063858745442,589.7476259807885,4.111110067055222,13.168548211138992,-3.672541433442786,7.208469094526879,5.87245862762755,8.786560280301703,22.18595421279791,1.9123434795208951,-2.0836222283786037,19.928954636959094,-2.3838240102997976,10.146181980144373,7.7342666036346825,12.102714076488928,-0.3921646211807444,-0.2165381506349649,0.58209891228191,0.38825660586652677,-0.534881942724914,-0.055116944129531366,-0.7855416827207604,0.8364381951607869,-0.1743153362881792,0.877046302355907,-0.02534994686881299,0.20726897978984343,0.2827997683398825,0.11117615486769385,0.04508528440411042,0.03687961614636736,0.00583583255254326,-0.05256666888579656,0.035903155417786305,0.17671348573262274,0.06788914028281216,-0.5018452018429918
ordinal__v_0,2.5734846091665586,1.8946129445781208,2.792909019921137,2.5337394625922105,2.721282537994067,1.523148687654125,3.865795320291667,4.111110067055222,13.42717540805955,2.927240066633278,2.8107707172765766,2.75577900202198,3.128225478041885,2.6143945404235582,2.6297169334699846,2.9351547189043856,2.8414834579908135,2.6993218278682765,3.138130863445641,3.023841308470663,3.242357763038234,2.5850041666620407,0.05888892528433792,-0.28492161067997807,0.5479795089612417,0.505677382381323,-0.5052136920234367,0.04440347334724247,0.37181795823011704,0.40059536631649134,0.04787889175574713,0.1374754532801984,0.16274675883104792,0.16101230937076844,0.19306268582498434,0.14095611222394827,0.037431064530459406,0.060910014223643505,0.04334839219270561,0.04827370773130576,0.03594929342968636,0.1862516476100806,0.15260168157058204,0.13036143711255024
ordinal__v_10,2.5672677606398335,2.325744044810076,4.078271058715235,2.7593321917808074,3.3315140389584275,1.7405728716157325,9.92777563954515,13.168548211138992,2.927240066633278,17.161003540606586,5.718172843745439,2.976685485581284,7.8192205607699625,7.337606234614425,6.844583339347833,2.7836671289505532,5.177295529596341,6.689645678274852,4.206816344030266,7.452995992398396,7.672953234839847,6.934576868668817,0.05844522157981174,-0.29027278728315953,0.5397169015468544,0.46453498136244503,-0.4435437488410512,0.057883971370229624,0.2729717155543905,0.4222534035605122,0.04415064022280021,0.3479798530249432,0.15456995126429082,0.15735999242273582,0.20252996286183725,0.14773578629715053,0.04448916320489908,0.05711648065071792,0.04297921015283919,0.02778709113715996,0.05354143802783957,0.1857987268462156,0.17380249218015884,0.14103982715431143
